code,name,source
F4000,"AGORAPHOBIA, UNSPECIFIED",samples
F4001,AGORAPHOBIA WITH PANIC DISORDER,samples
F4002,AGORAPHOBIA WITHOUT PANIC DISORDER,samples
F4010,"SOCIAL PHOBIA, UNSPECIFIED",samples
F4011,"SOCIAL PHOBIA, GENERALIZED",samples
F40210,ARACHNOPHOBIA,samples
F40218,OTHER ANIMAL TYPE PHOBIA,samples
F40220,FEAR OF THUNDERSTORMS,samples
F40228,OTHER NATURAL ENVIRONMENT TYPE PHOBIA,samples
F40230,FEAR OF BLOOD,samples
F40231,FEAR OF INJECTIONS AND TRANSFUSIONS,samples
F40232,FEAR OF OTHER MEDICAL CARE,samples
F40233,FEAR OF INJURY,samples
F40240,CLAUSTROPHOBIA,samples
F40241,ACROPHOBIA,samples
F40242,FEAR OF BRIDGES,samples
F40243,FEAR OF FLYING,samples
F40248,OTHER SITUATIONAL TYPE PHOBIA,samples
F40290,ANDROPHOBIA,samples
F40291,GYNEPHOBIA,samples
F40298,OTHER SPECIFIED PHOBIA,samples
F408,OTHER PHOBIC ANXIETY DISORDERS,samples
F409,"PHOBIC ANXIETY DISORDER, UNSPECIFIED",samples
F410,PANIC DISORDER EPISODIC PAROXYSMAL ANXIETY,samples
F411,GENERALIZED ANXIETY DISORDER,samples
F413,OTHER MIXED ANXIETY DISORDERS,samples
F418,OTHER SPECIFIED ANXIETY DISORDERS,samples
F419,"ANXIETY DISORDER, UNSPECIFIED",samples
F422,MIXED OBSESSIONAL THOUGHTS AND ACTS,samples
F423,HOARDING DISORDER,samples
F424,EXCORIATION (SKIN-PICKING) DISORDER,samples
F428,OTHER OBSESSIVE-COMPULSIVE DISORDER,samples
F429,"OBSESSIVE-COMPULSIVE DISORDER, UNSPECIFIED",samples
F064,Anxiety disorder due to known physiological condition,larochelle
F930,Separation anxiety disorder of childhood,larochelle
F940,Selective mutism,larochelle
