code,name
C000,MALIGNANT NEOPLASM OF EXTERNAL UPPER LIP
C001,MALIGNANT NEOPLASM OF EXTERNAL LOWER LIP
C002,"MALIGNANT NEOPLASM OF EXTERNAL LIP, UNSPECIFIED"
C003,"MALIGNANT NEOPLASM OF UPPER LIP, INNER ASPECT"
C004,"MALIGNANT NEOPLASM OF LOWER LIP, INNER ASPECT"
C005,"MALIGNANT NEOPLASM OF LIP, UNSPECIFIED, INNER ASPECT"
C006,"MALIGNANT NEOPLASM OF COMMISSURE OF LIP, UNSPECIFIED"
C008,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF LIP
C009,"MALIGNANT NEOPLASM OF LIP, UNSPECIFIED"
C01,MALIGNANT NEOPLASM OF BASE OF TONGUE
C020,MALIGNANT NEOPLASM OF DORSAL SURFACE OF TONGUE
C021,MALIGNANT NEOPLASM OF BORDER OF TONGUE
C022,MALIGNANT NEOPLASM OF VENTRAL SURFACE OF TONGUE
C023,"MALIG NEOPLASM OF ANTERIOR TWO-THIRDS OF TONGUE, PART UNSP"
C024,MALIGNANT NEOPLASM OF LINGUAL TONSIL
C028,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF TONGUE
C029,"MALIGNANT NEOPLASM OF TONGUE, UNSPECIFIED"
C030,MALIGNANT NEOPLASM OF UPPER GUM
C031,MALIGNANT NEOPLASM OF LOWER GUM
C039,"MALIGNANT NEOPLASM OF GUM, UNSPECIFIED"
C040,MALIGNANT NEOPLASM OF ANTERIOR FLOOR OF MOUTH
C041,MALIGNANT NEOPLASM OF LATERAL FLOOR OF MOUTH
C048,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF FLOOR OF MOUTH
C049,"MALIGNANT NEOPLASM OF FLOOR OF MOUTH, UNSPECIFIED"
C050,MALIGNANT NEOPLASM OF HARD PALATE
C051,MALIGNANT NEOPLASM OF SOFT PALATE
C052,MALIGNANT NEOPLASM OF UVULA
C058,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF PALATE
C059,"MALIGNANT NEOPLASM OF PALATE, UNSPECIFIED"
C060,MALIGNANT NEOPLASM OF CHEEK MUCOSA
C061,MALIGNANT NEOPLASM OF VESTIBULE OF MOUTH
C062,MALIGNANT NEOPLASM OF RETROMOLAR AREA
C0680,MALIGNANT NEOPLASM OF OVRLP SITES OF UNSP PARTS OF MOUTH
C0689,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF OTH PRT MOUTH
C069,"MALIGNANT NEOPLASM OF MOUTH, UNSPECIFIED"
C07,MALIGNANT NEOPLASM OF PAROTID GLAND
C080,MALIGNANT NEOPLASM OF SUBMANDIBULAR GLAND
C081,MALIGNANT NEOPLASM OF SUBLINGUAL GLAND
C089,"MALIGNANT NEOPLASM OF MAJOR SALIVARY GLAND, UNSPECIFIED"
