code,name,condition
A1801,Tuberculosis of spine,Arthritis/Joint/Bone Pain (Other than Back/Neck)
A1802,Tuberculous arthritis of other joints,Arthritis/Joint/Bone Pain (Other than Back/Neck)
A1803,Tuberculosis of other bones,Arthritis/Joint/Bone Pain (Other than Back/Neck)
A5215,Late syphilitic neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
A5216,Charcot's arthropathy (tabetic),Arthritis/Joint/Bone Pain (Other than Back/Neck)
B0222,Postherpetic trigeminal neuralgia,Arthritis/Joint/Bone Pain (Other than Back/Neck)
B0223,Postherpetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
D481,Neoplasm of uncertain behavior of connective and other soft tissue,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0940,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0942,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E0944,Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E09610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E09618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1065,Type 1 diabetes mellitus with hyperglycemia,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1141,Type 2 diabetes mellitus with diabetic mononeuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1143,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1144,Type 2 diabetes mellitus with diabetic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1149,Type 2 diabetes mellitus with other diabetic neurological complication,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E11610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E11618,Type 2 diabetes mellitus with other diabetic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1165,Type 2 diabetes mellitus with hyperglycemia,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1340,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1341,Other specified diabetes mellitus with diabetic mononeuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1342,Other specified diabetes mellitus with diabetic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1343,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1344,Other specified diabetes mellitus with diabetic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E1349,Other specified diabetes mellitus with other diabetic neurological complication,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E13610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
E13618,Other specified diabetes mellitus with other diabetic arthropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
F4541,Pain disorder exclusively related to psychological factors,Arthritis/Joint/Bone Pain (Other than Back/Neck)
F4542,Pain disorder with related psychological factors,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43001,"Migraine without aura, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43009,"Migraine without aura, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43011,"Migraine without aura, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43019,"Migraine without aura, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43101,"Migraine with aura, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43109,"Migraine with aura, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43111,"Migraine with aura, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43119,"Migraine with aura, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43401,"Hemiplegic migraine, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43409,"Hemiplegic migraine, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43411,"Hemiplegic migraine, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43419,"Hemiplegic migraine, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43501,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43511,"Persistent migraine aura without cerebral infarction, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43601,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43609,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43611,"Persistent migraine aura with cerebral infarction, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43619,"Persistent migraine aura with cerebral infarction, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43701,"Chronic migraine without aura, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43709,"Chronic migraine without aura, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43711,"Chronic migraine without aura, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43719,"Chronic migraine without aura, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43801,"Other migraine, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43809,"Other migraine, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43811,"Other migraine, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43819,"Other migraine, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43821,"Menstrual migraine, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43829,"Menstrual migraine, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43831,"Menstrual migraine, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43839,"Menstrual migraine, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43901,"Migraine, unspecified, not intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43909,"Migraine, unspecified, not intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43911,"Migraine, unspecified, intractable, with status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43919,"Migraine, unspecified, intractable, without status migrainosus",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43A0,"Cyclical vomiting, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43A1,"Cyclical vomiting, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43B0,"Ophthalmoplegic migraine, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43B1,"Ophthalmoplegic migraine, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43C0,"Periodic headache syndromes in child or adult, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43C1,"Periodic headache syndromes in child or adult, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43D0,"Abdominal migraine, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G43D1,"Abdominal migraine, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44001,"Cluster headache syndrome, unspecified, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44009,"Cluster headache syndrome, unspecified, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44011,"Episodic cluster headache, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44019,"Episodic cluster headache, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44021,"Chronic cluster headache, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44029,"Chronic cluster headache, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44031,"Episodic paroxysmal hemicrania, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44039,"Episodic paroxysmal hemicrania, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44041,"Chronic paroxysmal hemicrania, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44049,"Chronic paroxysmal hemicrania, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44051,"Short lasting unilateral neuralgiform headache with conjunctival injection and tearing (SUNCT), intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44059,"Short lasting unilateral neuralgiform headache with conjunctival injection and tearing (SUNCT), not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44091,"Other trigeminal autonomic cephalgias (TAC), intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44099,"Other trigeminal autonomic cephalgias (TAC), not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44201,"Tension-type headache, unspecified, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44209,"Tension-type headache, unspecified, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44211,"Episodic tension-type headache, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44219,"Episodic tension-type headache, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44221,"Chronic tension-type headache, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44229,"Chronic tension-type headache, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44321,"Chronic post-traumatic headache, intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G44329,"Chronic post-traumatic headache, not intractable",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G4451,Hemicrania continua,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G4452,New daily persistent headache (NDPH),Arthritis/Joint/Bone Pain (Other than Back/Neck)
G4453,Primary thunderclap headache,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G4459,Other complicated headache syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G4481,Hypnic headache,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G500,Trigeminal neuralgia,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G501,Atypical facial pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G521,Disorders of glossopharyngeal nerve,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G540,Brachial plexus disorders,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G541,Lumbosacral plexus disorders,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G542,"Cervical root disorders, not elsewhere classified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G543,"Thoracic root disorders, not elsewhere classified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G544,"Lumbosacral root disorders, not elsewhere classified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G545,Neuralgic amyotrophy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G546,Phantom limb syndrome with pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G547,Phantom limb syndrome without pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G548,Other nerve root and plexus disorders,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G549,"Nerve root and plexus disorder, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G55,Nerve root and plexus compressions in diseases classified elsewhere,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5610,"Other lesions of median nerve, unspecified upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5611,"Other lesions of median nerve, right upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5612,"Other lesions of median nerve, left upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5613,"Other lesions of median nerve, bilateral upper limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5620,"Lesion of ulnar nerve, unspecified upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5621,"Lesion of ulnar nerve, right upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5622,"Lesion of ulnar nerve, left upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5623,"Lesion of ulnar nerve, bilateral upper limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5630,"Lesion of radial nerve, unspecified upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5631,"Lesion of radial nerve, right upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5632,"Lesion of radial nerve, left upper limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5633,"Lesion of radial nerve, bilateral upper limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5640,Causalgia of unspecified upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5641,Causalgia of right upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5642,Causalgia of left upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5643,Causalgia of bilateral upper limbs,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5680,Other specified mononeuropathies of unspecified upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5681,Other specified mononeuropathies of right upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5682,Other specified mononeuropathies of left upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5683,Other specified mononeuropathies of bilateral upper limbs,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5690,Unspecified mononeuropathy of unspecified upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5691,Unspecified mononeuropathy of right upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5692,Unspecified mononeuropathy of left upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5693,Unspecified mononeuropathy of bilateral upper limbs,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5700,"Lesion of sciatic nerve, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5701,"Lesion of sciatic nerve, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5702,"Lesion of sciatic nerve, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5703,"Lesion of sciatic nerve, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5710,"Meralgia paresthetica, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5711,"Meralgia paresthetica, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5712,"Meralgia paresthetica, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5713,"Meralgia paresthetica, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5720,"Lesion of femoral nerve, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5721,"Lesion of femoral nerve, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5722,"Lesion of femoral nerve, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5723,"Lesion of femoral nerve, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5730,"Lesion of lateral popliteal nerve, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5731,"Lesion of lateral popliteal nerve, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5732,"Lesion of lateral popliteal nerve, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5733,"Lesion of lateral popliteal nerve, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5740,"Lesion of medial popliteal nerve, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
