code,name
F320,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MILD"
F321,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE"
F322,"MAJOR DEPRESSV DISORD, SINGLE EPSD, SEV W/O PSYCH FEATURES"
F323,"MAJOR DEPRESSV DISORD, SINGLE EPSD, SEVERE W PSYCH FEATURES"
F324,"MAJOR DEPRESSV DISORDER, SINGLE EPISODE, IN PARTIAL REMIS"
F325,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, IN FULL REMISSION"
F3281,PREMENSTRUAL DYSPHORIC DISORDER
F3289,OTHER SPECIFIED DEPRESSIVE EPISODES
F329,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED"
F330,"MAJOR DEPRESSIVE DISORDER, RECURRENT, MILD"
F331,"MAJOR DEPRESSIVE DISORDER, RECURRENT, MODERATE"
F332,"MAJOR DEPRESSV DISORDER, RECURRENT SEVERE W/O PSYCH FEATURES"
F333,"MAJOR DEPRESSV DISORDER, RECURRENT, SEVERE W PSYCH SYMPTOMS"
F3340,"MAJOR DEPRESSIVE DISORDER, RECURRENT, IN REMISSION, UNSP"
F3341,"MAJOR DEPRESSIVE DISORDER, RECURRENT, IN PARTIAL REMISSION"
F3342,"MAJOR DEPRESSIVE DISORDER, RECURRENT, IN FULL REMISSION"
F338,OTHER RECURRENT DEPRESSIVE DISORDERS
F339,"MAJOR DEPRESSIVE DISORDER, RECURRENT, UNSPECIFIED"
F341,DYSTHYMIC DISORDER
