code,name
T400X1A,"Poisoning by opium, accidental (unintentional)"
T400X1D,"Poisoning by opium, accidental (unintentional)"
T400X2A,"Poisoning by opium, intentional self-harm"
T400X2D,"Poisoning by opium, intentional self-harm"
T400X3A,"Poisoning by opium, assault"
T400X3D,"Poisoning by opium, assault"
T400X4A,"Poisoning by opium, undetermined"
T400X4D,"Poisoning by opium, undetermined"
T401X1A,"Poisoning by heroin, accidental (unintentional)"
T401X1D,"Poisoning by heroin, accidental (unintentional)"
T401X2A,"Poisoning by heroin, intentional self-harm"
T401X2D,"Poisoning by heroin, intentional self-harm"
T401X3A,"Poisoning by heroin, assault"
T401X3D,"Poisoning by heroin, assault"
T401X4A,"Poisoning by heroin, undetermined"
T401X4D,"Poisoning by heroin, undetermined"
T402X1A,"Poisoning by other opioids, accidental (unintentional)"
T402X1D,"Poisoning by other opioids, accidental (unintentional)"
T402X2A,"Poisoning by other opioids, intentional self-harm"
T402X2D,"Poisoning by other opioids, intentional self-harm"
T402X3A,"Poisoning by other opioids, assault"
T402X3D,"Poisoning by other opioids, assault"
T402X4A,"Poisoning by other opioids, undetermined"
T402X4D,"Poisoning by other opioids, undetermined"
T403X1A,"Poisoning by methadone, accidental (unintentional)"
T403X1D,"Poisoning by methadone, accidental (unintentional)"
T403X2A,"Poisoning by methadone, intentional self-harm"
T403X2D,"Poisoning by methadone, intentional self-harm"
T403X3A,"Poisoning by methadone, assault"
T403X3D,"Poisoning by methadone, assault"
T403X4A,"Poisoning by methadone, undetermined"
T403X4D,"Poisoning by methadone, undetermined"
T404X1A,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T404X1D,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm"
T404X2D,"Poisoning by other synthetic narcotics, intentional self-harm"
T404X3A,"Poisoning by other synthetic narcotics, assault"
T404X3D,"Poisoning by other synthetic narcotics, assault"
T404X4A,"Poisoning by other synthetic narcotics, undetermined"
T404X4D,"Poisoning by other synthetic narcotics, undetermined"
T40411A,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional)"
T40411D,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional)"
T40412A,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40412D,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40413A,"Poisoning by fentanyl or fentanyl analogs, assault"
T40413D,"Poisoning by fentanyl or fentanyl analogs, assault"
T40414A,"Poisoning by fentanyl or fentanyl analogs, undetermined"
T40414D,"Poisoning by fentanyl or fentanyl analogs, undetermined"
T40421A,"Poisoning by tramadol, accidental (unintentional)"
T40421D,"Poisoning by tramadol, accidental (unintentional)"
T40422A,"Poisoning by tramadol, intentional self-harm"
T40422D,"Poisoning by tramadol, intentional self-harm"
T40423A,"Poisoning by tramadol, assault"
T40423D,"Poisoning by tramadol, assault"
T40424A,"Poisoning by tramadol, undetermined"
T40424D,"Poisoning by tramadol, undetermined"
T40491A,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T40491D,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T40492A,"Poisoning by other synthetic narcotics, intentional self-harm"
T40492D,"Poisoning by other synthetic narcotics, intentional self-harm"
T40493A,"Poisoning by other synthetic narcotics, assault"
T40493D,"Poisoning by other synthetic narcotics, assault"
T40494A,"Poisoning by other synthetic narcotics, undetermined"
T40494D,"Poisoning by other synthetic narcotics, undetermined"
T40601A,"Poisoning by unspecified narcotics, accidental (unintentional)"
T40601D,"Poisoning by unspecified narcotics, accidental (unintentional)"
T40602A,"Poisoning by unspecified narcotics, intentional self-harm"
T40602D,"Poisoning by unspecified narcotics, intentional self-harm"
T40603A,"Poisoning by unspecified narcotics, assault"
T40603D,"Poisoning by unspecified narcotics, assault"
T40604A,"Poisoning by unspecified narcotics, undetermined"
T40604D,"Poisoning by unspecified narcotics, undetermined"
T40691A,"Poisoning by other narcotics, accidental (unintentional)"
T40691D,"Poisoning by other narcotics, accidental (unintentional)"
T40692A,"Poisoning by opium, intentional self-harm"
T40692D,"Poisoning by opium, intentional self-harm"
T40693A,"Poisoning by opium, assault"
T40693D,"Poisoning by opium, assault"
T40694A,"Poisoning by other narcotics, undetermined"
T40694D,"Poisoning by other narcotics, undetermined"
