code,name
T405X1A,"Poisoning by cocaine, accidental (unintentional)"
T405X1D,"Poisoning by cocaine, accidental (unintentional)"
T405X2A,"Poisoning by cocaine, intentional self-harm"
T405X2D,"Poisoning by cocaine, intentional self-harm"
T405X3A,"Poisoning by cocaine, assault"
T405X3D,"Poisoning by cocaine, assault"
T405X4A,"Poisoning by cocaine, undetermined"
T405X4D,"Poisoning by cocaine, undetermined"
T43601A,"Poisoning by unspecified psychostimulants, accidental (unintentional)"
T43601D,"Poisoning by unspecified psychostimulants, accidental (unintentional)"
T43604A,"Poisoning by unspecified psychostimulants, undetermined"
T43604D,"Poisoning by unspecified psychostimulants, undetermined"
T43611A,"Poisoning by caffeine, accidental (unintentional)"
T43611D,"Poisoning by caffeine, accidental (unintentional)"
T43612A,"Poisoning by caffeine, intentional self-harm"
T43612D,"Poisoning by caffeine, intentional self-harm"
T43613A,"Poisoning by caffeine, assault"
T43613D,"Poisoning by caffeine, assault"
T43614A,"Poisoning by caffeine, undetermined intent"
T43614D,"Poisoning by caffeine, undetermined intent"
T43621A,"Poisoning by amphetamines, accidental (unintentional)"
T43621D,"Poisoning by amphetamines, accidental (unintentional)"
T43622A,"Poisoning by amphetamines, intentional self-harm"
T43622D,"Poisoning by amphetamines, intentional self-harm"
T43623A,"Poisoning by amphetamines, assault"
T43623D,"Poisoning by amphetamines, assault"
T43624A,"Poisoning by amphetamines, undetermined"
T43624D,"Poisoning by amphetamines, undetermined"
T43631A,"Poisoning by methylphenidate, accidental (unintentional)"
T43631D,"Poisoning by methylphenidate, accidental (unintentional)"
T43632A,"Poisoning by methylphenidate, intentional self-harm"
T43632D,"Poisoning by methylphenidate, intentional self-harm"
T43633A,"Poisoning by methylphenidate, assault"
T43633D,"Poisoning by methylphenidate, assault"
T43634A,"Poisoning by methylphenidate, undetermined"
T43634D,"Poisoning by methylphenidate, undetermined"
T43641A,"Poisoning by ecstasy, accidental (unintentional)"
T43641D,"Poisoning by ecstasy, accidental (unintentional)"
T43642A,"Poisoning by ecstacy, intentional self-harm"
T43642D,"Poisoning by ecstacy, intentional self-harm"
T43643A,"Poisoning by ecstacy, assault"
T43643D,"Poisoning by ecstacy, assault"
T43644A,"Poisoning by ecstasy, undetermined"
T43644D,"Poisoning by ecstasy, undetermined"
T43651A,Poisoning by methamphetamines accidental (unintentional)
T43651D,Poisoning by methamphetamines accidental (unintentional)
T43652A,"Poisoning by methamphetamines, intentional self-harm"
T43652D,"Poisoning by methamphetamines, intentional self-harm"
T43653A,"Poisoning by methamphetamines, assault"
T43653D,"Poisoning by methamphetamines, assault"
T43654A,"Poisoning by methamphetamines, undetermined"
T43654D,"Poisoning by methamphetamines, undetermined"
T43691A,"Poisoning by other psychostimulants, accidental (unintentional)"
T43691D,"Poisoning by other psychostimulants, accidental (unintentional)"
T43692A,"Poisoning by other psychostimulants, intentional self-harm"
T43692D,"Poisoning by other psychostimulants, intentional self-harm"
T43693A,"Poisoning by other psychostimulants, assault"
T43693D,"Poisoning by other psychostimulants, assault"
T43694A,"Poisoning by other psychostimulants, undetermined"
T43694D,"Poisoning by other psychostimulants, undetermined"
