code,name
90832,Under Psychotherapy Services and Procedures
90833,Under Psychotherapy Services and Procedures
90834,Under Psychotherapy Services and Procedures
90835,Under Psychotherapy Services and Procedures
90836,Under Psychotherapy Services and Procedures
90837,Under Psychotherapy Services and Procedures
90838,Under Psychotherapy Services and Procedures
90839,Under Psychotherapy for Crisis Services and Procedures
90840,Under Psychotherapy for Crisis Services and Procedures
90845,Under Other Psychotherapy Procedures
90846,Under Other Psychotherapy Procedures
90847,Under Other Psychotherapy Procedures
90849,Under Other Psychotherapy Procedures
90853,Under Other Psychotherapy Procedures
90875,Under Other Psychiatric Services or Procedures
90876,Under Other Psychiatric Services or Procedures
G0155,Services of clinical social worker in home health or hospice settings
G0176,"Activity therapy, such as music, dance, art or play therapies not for recreation"
G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals"
G0410,Group psychotherapy other than of a multiple-family group
G0411,Interactive group psychotherapy
H0004,Behavioral health counseling and therapy
H0005,Alcohol and/or drug services; group counseling by a clinician
H0007,Alcohol and/or drug services; crisis intervention
H0015,"Alcohol and/or drug services; intensive outpatient (treatment program that operates at least 3 hours/day and at least 3 days/week and is based on an individualized treatment plan), including assessment, counseling"
H0022,Alcohol and/or drug intervention service (planned facilitation)
H0035,"Mental health partial hospitalization, treatment, less than 24 hours"
H0036,"Community psychiatric supportive treatment, face-to-face"
H0037,Community psychiatric supportive treatment program
H0039,"Assertive community treatment, face-to-face"
H0040,Assertive community treatment program
H2001,Rehabilitation program
H2011,Crisis interven svc
H2012,Behavioral health day treatment
H2013,Psychiatric health facility service
H2014,Skills training and development
H2015,Comprehensive community support services
H2016,Comprehensive community support services
H2017,Psychosocial rehabilitation services
H2018,Psychosocial rehabilitation services
H2019,Therapeutic behavioral services
H2020,Therapeutic behavioral services
S0201,Partial hospitalization services
S9480,Intensive outpatient psychiatric services
S9484,Crisis intervention mental health services
S9485,Crisis intervention mental health services
T1006,"Alcohol and/or substance abuse services, family/couple counseling"
T1012,"Alcohol and/or substance abuse services, skills development"
